segment,waterbody,station,depth (m),deployment_start_date (UTC),deployment_end_date (UTC)
Queens_Liverpool Bay_Mersey Point_2.0_2021-08-13T00:00:00Z_2022-08-10T00:00:00Z,Liverpool Bay,Mersey Point,2.0,2021-08-13T00:00:00Z,2022-08-10T00:00:00Z
Queens_Liverpool Bay_Mersey Point_15.0_2021-08-13T00:00:00Z_2022-08-10T00:00:00Z,Liverpool Bay,Mersey Point,15.0,2021-08-13T00:00:00Z,2022-08-10T00:00:00Z
Queens_Liverpool Bay_Mersey Point_5.0_2022-08-10T00:00:00Z_2023-08-24T00:00:00Z,Liverpool Bay,Mersey Point,5.0,2022-08-10T00:00:00Z,2023-08-24T00:00:00Z
Queens_Liverpool Bay_Mersey Point_10.0_2022-08-10T00:00:00Z_2023-08-24T00:00:00Z,Liverpool Bay,Mersey Point,10.0,2022-08-10T00:00:00Z,2023-08-24T00:00:00Z
Queens_Liverpool Bay_Mersey Point_2.0_2022-08-10T00:00:00Z_2023-08-24T00:00:00Z,Liverpool Bay,Mersey Point,2.0,2022-08-10T00:00:00Z,2023-08-24T00:00:00Z
Queens_Liverpool Bay_Mersey Point_15.0_2022-08-10T00:00:00Z_2023-08-24T00:00:00Z,Liverpool Bay,Mersey Point,15.0,2022-08-10T00:00:00Z,2023-08-24T00:00:00Z
Queens_Sandy Bay_Lesser Hope Rock_10.0_2023-07-13T00:00:00Z_2024-07-22T00:00:00Z,Sandy Bay,Lesser Hope Rock,10.0,2023-07-13T00:00:00Z,2024-07-22T00:00:00Z
Queens_Sandy Bay_Lesser Hope Rock_15.0_2023-07-13T00:00:00Z_2024-07-22T00:00:00Z,Sandy Bay,Lesser Hope Rock,15.0,2023-07-13T00:00:00Z,2024-07-22T00:00:00Z
Queens_Sandy Bay_Lesser Hope Rock_2.0_2023-07-13T00:00:00Z_2024-07-22T00:00:00Z,Sandy Bay,Lesser Hope Rock,2.0,2023-07-13T00:00:00Z,2024-07-22T00:00:00Z
Queens_Liverpool Bay_Mersey Point_15.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Liverpool Bay,Mersey Point,15.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Liverpool Bay_Mersey Point_10.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Liverpool Bay,Mersey Point,10.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Liverpool Bay_Mersey Point_2.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Liverpool Bay,Mersey Point,2.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Liverpool Bay_Mersey Point_5.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Liverpool Bay,Mersey Point,5.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Medway River_Fryingpan Island_5.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Medway River,Fryingpan Island,5.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Medway River_Fryingpan Island_10.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Medway River,Fryingpan Island,10.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Medway River_Fryingpan Island_2.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Medway River,Fryingpan Island,2.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Queens_Medway River_Fryingpan Island_15.0_2023-08-24T00:00:00Z_2024-07-22T00:00:00Z,Medway River,Fryingpan Island,15.0,2023-08-24T00:00:00Z,2024-07-22T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_15.0_2020-04-30T00:00:00Z_2020-12-03T00:00:00Z,Arichat Harbour,Kavanagh Point,15.0,2020-04-30T00:00:00Z,2020-12-03T00:00:00Z
Richmond_Lennox Passage_Gabion Shoal_20.0_2019-04-10T00:00:00Z_2019-04-10T00:00:00Z,Lennox Passage,Gabion Shoal,20.0,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z
Richmond_Lennox Passage_Gabion Shoal_5.0_2019-04-10T00:00:00Z_2019-04-10T00:00:00Z,Lennox Passage,Gabion Shoal,5.0,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z
Richmond_Lennox Passage_Gabion Shoal_30.0_2019-04-10T00:00:00Z_2019-04-10T00:00:00Z,Lennox Passage,Gabion Shoal,30.0,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_2.0_2020-04-30T00:00:00Z_2020-12-03T00:00:00Z,Arichat Harbour,Kavanagh Point,2.0,2020-04-30T00:00:00Z,2020-12-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_5.0_2020-04-30T00:00:00Z_2020-12-03T00:00:00Z,Arichat Harbour,Kavanagh Point,5.0,2020-04-30T00:00:00Z,2020-12-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_10.0_2020-04-30T00:00:00Z_2020-12-03T00:00:00Z,Arichat Harbour,Kavanagh Point,10.0,2020-04-30T00:00:00Z,2020-12-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_10.0_2020-12-03T00:00:00Z_2021-09-15T00:00:00Z,Arichat Harbour,Kavanagh Point,10.0,2020-12-03T00:00:00Z,2021-09-15T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_2.0_2020-12-03T00:00:00Z_2021-09-15T00:00:00Z,Arichat Harbour,Kavanagh Point,2.0,2020-12-03T00:00:00Z,2021-09-15T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_5.0_2020-12-03T00:00:00Z_2021-09-15T00:00:00Z,Arichat Harbour,Kavanagh Point,5.0,2020-12-03T00:00:00Z,2021-09-15T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_15.0_2020-12-03T00:00:00Z_2021-09-15T00:00:00Z,Arichat Harbour,Kavanagh Point,15.0,2020-12-03T00:00:00Z,2021-09-15T00:00:00Z
Richmond_Lennox Passage_Cascarette Island_5.0_2021-06-14T00:00:00Z_2022-06-02T00:00:00Z,Lennox Passage,Cascarette Island,5.0,2021-06-14T00:00:00Z,2022-06-02T00:00:00Z
Richmond_Arichat Harbour_Cape Auguet Bay_5.0_2021-06-14T00:00:00Z_2022-06-02T00:00:00Z,Arichat Harbour,Cape Auguet Bay,5.0,2021-06-14T00:00:00Z,2022-06-02T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_5.0_2021-09-15T00:00:00Z_2022-07-28T00:00:00Z,Arichat Harbour,Kavanagh Point,5.0,2021-09-15T00:00:00Z,2022-07-28T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_10.0_2021-09-15T00:00:00Z_2022-07-28T00:00:00Z,Arichat Harbour,Kavanagh Point,10.0,2021-09-15T00:00:00Z,2022-07-28T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_2.0_2021-09-15T00:00:00Z_2022-07-28T00:00:00Z,Arichat Harbour,Kavanagh Point,2.0,2021-09-15T00:00:00Z,2022-07-28T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_15.0_2021-09-15T00:00:00Z_2022-07-28T00:00:00Z,Arichat Harbour,Kavanagh Point,15.0,2021-09-15T00:00:00Z,2022-07-28T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_10.0_2022-07-28T00:00:00Z_2023-07-06T00:00:00Z,Arichat Harbour,Kavanagh Point,10.0,2022-07-28T00:00:00Z,2023-07-06T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_5.0_2022-07-28T00:00:00Z_2023-07-06T00:00:00Z,Arichat Harbour,Kavanagh Point,5.0,2022-07-28T00:00:00Z,2023-07-06T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_2.0_2022-07-28T00:00:00Z_2023-07-06T00:00:00Z,Arichat Harbour,Kavanagh Point,2.0,2022-07-28T00:00:00Z,2023-07-06T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_15.0_2022-07-28T00:00:00Z_2023-07-06T00:00:00Z,Arichat Harbour,Kavanagh Point,15.0,2022-07-28T00:00:00Z,2023-07-06T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_2.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Jerseyman Island,2.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_5.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Jerseyman Island,5.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_10.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Jerseyman Island,10.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_11.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Jerseyman Island,11.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_5.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Kavanagh Point,5.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_10.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Kavanagh Point,10.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_2.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Kavanagh Point,2.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_15.0_2023-07-06T00:00:00Z_2024-07-03T00:00:00Z,Arichat Harbour,Kavanagh Point,15.0,2023-07-06T00:00:00Z,2024-07-03T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_5.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Kavanagh Point,5.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_10.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Kavanagh Point,10.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_2.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Kavanagh Point,2.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_11.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Jerseyman Island,11.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Kavanagh Point_15.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Kavanagh Point,15.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_2.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Jerseyman Island,2.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_5.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Jerseyman Island,5.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Richmond_Arichat Harbour_Jerseyman Island_10.0_2024-07-03T00:00:00Z_2024-10-17T00:00:00Z,Arichat Harbour,Jerseyman Island,10.0,2024-07-03T00:00:00Z,2024-10-17T00:00:00Z
Shelburne_Green Harbour_Blue Island_10.0_2020-06-17T00:00:00Z_2021-08-13T00:00:00Z,Green Harbour,Blue Island,10.0,2020-06-17T00:00:00Z,2021-08-13T00:00:00Z
Shelburne_Little Harbour_Little Harbour_10.0_2020-08-19T00:00:00Z_2021-08-13T00:00:00Z,Little Harbour,Little Harbour,10.0,2020-08-19T00:00:00Z,2021-08-13T00:00:00Z
Shelburne_Negro Harbour_Ingomar_15.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Negro Harbour,Ingomar,15.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Negro Harbour_Ingomar_2.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Negro Harbour,Ingomar,2.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_20.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Port La Tour,Taylors Rock,20.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_2.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Port La Tour,Taylors Rock,2.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_15.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Port La Tour,Taylors Rock,15.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_2.0_2020-08-19T00:00:00Z_2021-04-26T00:00:00Z,Shelburne Harbour,McNutts Island,2.0,2020-08-19T00:00:00Z,2021-04-26T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_10.0_2020-08-19T00:00:00Z_2021-04-26T00:00:00Z,Shelburne Harbour,McNutts Island,10.0,2020-08-19T00:00:00Z,2021-04-26T00:00:00Z
Shelburne_Woods Harbour_Camerons Cove_2.0_2019-02-07T00:00:00Z_2020-09-01T00:00:00Z,Woods Harbour,Camerons Cove,2.0,2019-02-07T00:00:00Z,2020-09-01T00:00:00Z
Shelburne_Woods Harbour_Camerons Cove_10.0_2019-02-07T00:00:00Z_2020-09-01T00:00:00Z,Woods Harbour,Camerons Cove,10.0,2019-02-07T00:00:00Z,2020-09-01T00:00:00Z
Shelburne_Woods Harbour_Camerons Cove_5.0_2019-02-07T00:00:00Z_2020-09-01T00:00:00Z,Woods Harbour,Camerons Cove,5.0,2019-02-07T00:00:00Z,2020-09-01T00:00:00Z
Shelburne_Woods Harbour_Camerons Cove_13.0_2019-02-07T00:00:00Z_2020-09-01T00:00:00Z,Woods Harbour,Camerons Cove,13.0,2019-02-07T00:00:00Z,2020-09-01T00:00:00Z
Shelburne_Little Harbour_Little Harbour_8.0_2020-08-19T00:00:00Z_2021-08-13T00:00:00Z,Little Harbour,Little Harbour,8.0,2020-08-19T00:00:00Z,2021-08-13T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_15.0_2020-08-19T00:00:00Z_2021-04-26T00:00:00Z,Shelburne Harbour,McNutts Island,15.0,2020-08-19T00:00:00Z,2021-04-26T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_5.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Port La Tour,Taylors Rock,5.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Negro Harbour_Ingomar_5.0_2019-12-17T00:00:00Z_2020-09-16T00:00:00Z,Negro Harbour,Ingomar,5.0,2019-12-17T00:00:00Z,2020-09-16T00:00:00Z
Shelburne_Green Harbour_Blue Island_2.0_2020-06-17T00:00:00Z_2021-08-13T00:00:00Z,Green Harbour,Blue Island,2.0,2020-06-17T00:00:00Z,2021-08-13T00:00:00Z
Shelburne_Green Harbour_Blue Island_5.0_2020-06-17T00:00:00Z_2021-08-13T00:00:00Z,Green Harbour,Blue Island,5.0,2020-06-17T00:00:00Z,2021-08-13T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_5.0_2020-08-19T00:00:00Z_2021-04-26T00:00:00Z,Shelburne Harbour,McNutts Island,5.0,2020-08-19T00:00:00Z,2021-04-26T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_10.0_2020-09-16T00:00:00Z_2021-04-29T00:00:00Z,Port La Tour,Taylors Rock,10.0,2020-09-16T00:00:00Z,2021-04-29T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_15.0_2020-09-16T00:00:00Z_2021-04-29T00:00:00Z,Port La Tour,Taylors Rock,15.0,2020-09-16T00:00:00Z,2021-04-29T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_2.0_2020-09-16T00:00:00Z_2021-04-29T00:00:00Z,Port La Tour,Taylors Rock,2.0,2020-09-16T00:00:00Z,2021-04-29T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_20.0_2020-09-16T00:00:00Z_2021-04-29T00:00:00Z,Port La Tour,Taylors Rock,20.0,2020-09-16T00:00:00Z,2021-04-29T00:00:00Z
Shelburne_Negro Harbour_Ingomar_15.0_2020-09-16T00:00:00Z_2021-08-12T00:00:00Z,Negro Harbour,Ingomar,15.0,2020-09-16T00:00:00Z,2021-08-12T00:00:00Z
Shelburne_Negro Harbour_Ingomar_5.0_2020-09-16T00:00:00Z_2021-08-12T00:00:00Z,Negro Harbour,Ingomar,5.0,2020-09-16T00:00:00Z,2021-08-12T00:00:00Z
Shelburne_Negro Harbour_Ingomar_10.0_2020-09-16T00:00:00Z_2021-08-12T00:00:00Z,Negro Harbour,Ingomar,10.0,2020-09-16T00:00:00Z,2021-08-12T00:00:00Z
Shelburne_Negro Harbour_Ingomar_2.0_2020-09-16T00:00:00Z_2021-08-12T00:00:00Z,Negro Harbour,Ingomar,2.0,2020-09-16T00:00:00Z,2021-08-12T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_10.0_2021-08-12T00:00:00Z_2022-05-29T00:00:00Z,Port La Tour,Taylors Rock,10.0,2021-08-12T00:00:00Z,2022-05-29T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_2.0_2021-08-12T00:00:00Z_2022-05-29T00:00:00Z,Port La Tour,Taylors Rock,2.0,2021-08-12T00:00:00Z,2022-05-29T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_15.0_2021-08-12T00:00:00Z_2022-05-29T00:00:00Z,Port La Tour,Taylors Rock,15.0,2021-08-12T00:00:00Z,2022-05-29T00:00:00Z
Shelburne_Port La Tour_Taylors Rock_20.0_2021-08-12T00:00:00Z_2022-05-29T00:00:00Z,Port La Tour,Taylors Rock,20.0,2021-08-12T00:00:00Z,2022-05-29T00:00:00Z
Shelburne_Negro Harbour_Ingomar_5.0_2021-08-12T00:00:00Z_2022-08-10T00:00:00Z,Negro Harbour,Ingomar,5.0,2021-08-12T00:00:00Z,2022-08-10T00:00:00Z
Shelburne_Negro Harbour_Ingomar_15.0_2021-08-12T00:00:00Z_2022-08-10T00:00:00Z,Negro Harbour,Ingomar,15.0,2021-08-12T00:00:00Z,2022-08-10T00:00:00Z
Shelburne_Negro Harbour_Ingomar_10.0_2021-08-12T00:00:00Z_2022-08-10T00:00:00Z,Negro Harbour,Ingomar,10.0,2021-08-12T00:00:00Z,2022-08-10T00:00:00Z
Shelburne_Negro Harbour_Ingomar_2.0_2021-08-12T00:00:00Z_2022-08-10T00:00:00Z,Negro Harbour,Ingomar,2.0,2021-08-12T00:00:00Z,2022-08-10T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_20.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Shelburne Harbour,McNutts Island,20.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_15.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Shelburne Harbour,McNutts Island,15.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_10.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Shelburne Harbour,McNutts Island,10.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Green Harbour_Blue Island_5.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Green Harbour,Blue Island,5.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Green Harbour_Blue Island_10.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Green Harbour,Blue Island,10.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Green Harbour_Blue Island_2.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Green Harbour,Blue Island,2.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Little Harbour_Little Harbour_5.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Little Harbour,Little Harbour,5.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Little Harbour_Little Harbour_8.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Little Harbour,Little Harbour,8.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Little Harbour_Little Harbour_2.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Little Harbour,Little Harbour,2.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Little Harbour_Little Harbour_10.0_2021-08-13T00:00:00Z_2022-08-11T00:00:00Z,Little Harbour,Little Harbour,10.0,2021-08-13T00:00:00Z,2022-08-11T00:00:00Z
Shelburne_Port La Tour_Taylors Rock 1_15.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Port La Tour,Taylors Rock 1,15.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Port La Tour_Taylors Rock 1_10.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Port La Tour,Taylors Rock 1,10.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Port La Tour_Taylors Rock 1_2.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Port La Tour,Taylors Rock 1,2.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Port La Tour_Taylors Rock 1_22.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Port La Tour,Taylors Rock 1,22.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Negro Harbour_Ingomar_15.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Negro Harbour,Ingomar,15.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Negro Harbour_Ingomar_2.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Negro Harbour,Ingomar,2.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Negro Harbour_Ingomar_10.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Negro Harbour,Ingomar,10.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Negro Harbour_Ingomar_5.0_2022-08-10T00:00:00Z_2023-07-13T00:00:00Z,Negro Harbour,Ingomar,5.0,2022-08-10T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Green Harbour_Blue Island_10.0_2022-08-11T00:00:00Z_2023-07-13T00:00:00Z,Green Harbour,Blue Island,10.0,2022-08-11T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Green Harbour_Blue Island_2.0_2022-08-11T00:00:00Z_2023-07-13T00:00:00Z,Green Harbour,Blue Island,2.0,2022-08-11T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Green Harbour_Blue Island_5.0_2022-08-11T00:00:00Z_2023-07-13T00:00:00Z,Green Harbour,Blue Island,5.0,2022-08-11T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Little Harbour_Little Harbour_2.0_2022-08-11T00:00:00Z_2023-07-13T00:00:00Z,Little Harbour,Little Harbour,2.0,2022-08-11T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Little Harbour_Little Harbour_8.0_2022-08-11T00:00:00Z_2023-07-13T00:00:00Z,Little Harbour,Little Harbour,8.0,2022-08-11T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Little Harbour_Little Harbour_10.0_2022-08-11T00:00:00Z_2023-07-13T00:00:00Z,Little Harbour,Little Harbour,10.0,2022-08-11T00:00:00Z,2023-07-13T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_10.0_2022-08-11T00:00:00Z_2024-06-19T00:00:00Z,Shelburne Harbour,McNutts Island,10.0,2022-08-11T00:00:00Z,2024-06-19T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_2.0_2022-08-11T00:00:00Z_2024-06-19T00:00:00Z,Shelburne Harbour,McNutts Island,2.0,2022-08-11T00:00:00Z,2024-06-19T00:00:00Z
Shelburne_Shelburne Harbour_McNutts Island_5.0_2022-08-11T00:00:00Z_2024-06-19T00:00:00Z,Shelburne Harbour,McNutts Island,5.0,2022-08-11T00:00:00Z,2024-06-19T00:00:00Z
Shelburne_Green Harbour_Blue Island_5.0_2023-07-13T00:00:00Z_2024-07-25T00:00:00Z,Green Harbour,Blue Island,5.0,2023-07-13T00:00:00Z,2024-07-25T00:00:00Z
Shelburne_Green Harbour_Blue Island_2.0_2023-07-13T00:00:00Z_2024-07-25T00:00:00Z,Green Harbour,Blue Island,2.0,2023-07-13T00:00:00Z,2024-07-25T00:00:00Z
Victoria_Aspy Bay_North Harbour_2.0_2018-11-01T00:00:00Z_2020-09-10T00:00:00Z,Aspy Bay,North Harbour,2.0,2018-11-01T00:00:00Z,2020-09-10T00:00:00Z
Victoria_Aspy Bay_North Harbour_5.0_2018-11-01T00:00:00Z_2020-09-10T00:00:00Z,Aspy Bay,North Harbour,5.0,2018-11-01T00:00:00Z,2020-09-10T00:00:00Z
Yarmouth_Lobster Bay_Lobster Bay_5.0_2020-06-22T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Lobster Bay,5.0,2020-06-22T00:00:00Z,2020-09-16T00:00:00Z
Yarmouth_Lobster Bay_Lobster Bay_4.0_2020-06-22T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Lobster Bay,4.0,2020-06-22T00:00:00Z,2020-09-16T00:00:00Z
Yarmouth_Lobster Bay_Morris Island_4.0_2020-06-16T00:00:00Z_2020-09-15T00:00:00Z,Lobster Bay,Morris Island,4.0,2020-06-16T00:00:00Z,2020-09-15T00:00:00Z
Yarmouth_Lobster Bay_Morris Island_3.0_2020-06-16T00:00:00Z_2020-09-15T00:00:00Z,Lobster Bay,Morris Island,3.0,2020-06-16T00:00:00Z,2020-09-15T00:00:00Z
Yarmouth_Lobster Bay_Ram Island_8.0_2020-06-22T00:00:00Z_2021-07-08T00:00:00Z,Lobster Bay,Ram Island,8.0,2020-06-22T00:00:00Z,2021-07-08T00:00:00Z
Yarmouth_Lobster Bay_Wedgeport_5.0_2020-06-16T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Wedgeport,5.0,2020-06-16T00:00:00Z,2020-09-16T00:00:00Z
Yarmouth_Lobster Bay_Wedgeport_4.5_2020-06-16T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Wedgeport,4.5,2020-06-16T00:00:00Z,2020-09-16T00:00:00Z
Yarmouth_Lobster Bay_Wedgeport_2.0_2020-06-16T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Wedgeport,2.0,2020-06-16T00:00:00Z,2020-09-16T00:00:00Z
Yarmouth_Lobster Bay_Lobster Bay_2.0_2020-06-22T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Lobster Bay,2.0,2020-06-22T00:00:00Z,2020-09-16T00:00:00Z
Yarmouth_Lobster Bay_Morris Island_2.0_2020-06-16T00:00:00Z_2020-09-15T00:00:00Z,Lobster Bay,Morris Island,2.0,2020-06-16T00:00:00Z,2020-09-15T00:00:00Z
Yarmouth_Lobster Bay_Lobster Bay_3.0_2020-06-22T00:00:00Z_2020-09-16T00:00:00Z,Lobster Bay,Lobster Bay,3.0,2020-06-22T00:00:00Z,2020-09-16T00:00:00Z
